# Derived from JMdict common-only data (2026-08-31) via scriptin/jmdict-simplified.
# Original data © EDRDG under the EDRDG Dictionary License; distribution terms: CC BY-SA 4.0.
# See docs/katakana-english-dictionary-notice.md.
ギャル	gyaru
ギャル	gal
ギャル	girl
ギャルソン	bellboy
ギャロッピングインフレ	galloping inflation
ギャング	gang
ギャング	gangster
ギャンブラー	gambler
ギャンブル	gambling
ギルド	guild
ギロチン	guillotine
クーキー	kooky
クーキー	weird
クーキー	cookie
クーデター	coup
クーペ	coupe
クーポン	coupon
クーポン	voucher
クーラー	air conditioner
クーラー	cooler
クイーン	queen
クイズ	quiz
クイック	quickstep
クインテット	quintet
クエーサー	quasar
クエーサー	quasi-stellar object
クオート	quart
クオリティ	quality
クッキー	cookie
クッキー	biscuit
クッキー	browser cookie
クッキング	cooking
クッション	cushion
クッション	mitigation
クラーク	clerk
クラーク	office worker
クライアント	client
クライシス	crisis
クライマックス	climax
クライミング	climbing
クライムストーリー	crime story
クラウン	dental cap
クラクション	klaxon
クラシカル	classical
クラシック	classical music
クラシック	the classics
クラス	class
クラスメイト	classmate
クラスメート	classmate
クラッカー	cracker
クラッカー	party popper
クラック	crack
クラッシュ	crash
クラッチ	clutch
クラフト	craft
クラフト	crafting
クラフト	handcrafted article
クラブ	nightclub
クラブ	sports club
クラブ	team
クラン	clan
クランクイン	start of filming
クリーナー	cleaner
クリーニング	cleaning
クリーニング	dry cleaning
クリーニング	laundry service
クリーム	cream
クリーム	ice cream
クリーンヒット	clean hit
クリエイター	creator
クリエイター	inventor
クリエイター	creative
クリエーター	creator
クリエーター	inventor
クリエーター	creative
クリオール	creole
クリスタル	crystal
クリップ	hairpin
クリップ	hair slide
クリップ	curler
クリニック	clinic
クリニック	workshop
クリンチ	clinch
クルー	crew
クルージング	cruising
クルーズ	cruise
クルス	cross sign
クレー	clay
クレー	clay pigeon shooting
クレー	clay target
クレイ	clay
クレイ	clay pigeon shooting
クレイ	clay target
クレーター	crater
クレーター	pockmark
クレーム	customer complaint seeking compensation
クレーム	objection
クレアチニンクリアランス	creatinine clearance
クレオソート	creosote
クレジット	credit
クレジット	credit sale
クレジット	credit card
クレジットカード	credit card
クレディビリティーギャップ	credibility gap
クレンザー	cleanser
クレンザー	scouring powder
クレンザー	detergent
クレンジングクリーム	cleansing cream
クローク	cloakroom
クローク	checkroom
クローズ	close
クローズ	closing
クローズアップ	close-up
クローズアップ	bringing attention to
クローズアップ	bringing to the fore
クロール	front crawl
クロール	forward crawl
クローン	clone
クロス	cross
クロス	crossing
クロス	intersecting
クロスワード	crossword
クロック	clock
クロニクル	chronicle
クロノスコープ	chronoscope
クワイア	choir
グッズ	goods
グッズ	merchandise
グッズ	commercial items
グライコ	graphic equalizer
グライコ	graphic equaliser
グライダー	glider
グラウンド	playground
グラウンド	stadium
グラスファイバー	glass fiber
グラスファイバー	glass fibre
グラタン	gratin
グラデーション	gradation
グラデーション	gradation haircut
グラデーション	taper
グラビア	gravure
グラビア	photogravure
グラビア	rotogravure
グラフ	graph
グラフ	chart
グラフ	diagram
グラフィック	graphics
グラフィック	graphic
グラフィック	graphic magazine
グラフィックス	graphics
グラマー	voluptuous woman
グラマー	big-breasted woman
グラマー	glamour girl
グラム	gram
グラム	gramme
グランス	glans
グランデ	grand
グランドピアノ	grand piano
グランプリ	grand prize
グリークラブ	glee club
グリーン	greenland
グリーン	green space
グリーン	lawn
グリーンスクール	green school
グリーンピース	green peas
グリンピース	green peas
グリーンフィー	green fee
グリコーゲン	glycogen
グリップ	grip
グリル	grilled food
グリル	grill room
グリル	restaurant serving grilled food
グルー	glue
グルメ	fine food
グルメ	high-quality food
グルメ	gourmet
グレー	grey
グレー	gray
グレーゾーン	gray zone
グレーゾーン	grey zone
グレーゾーン	gray area
グレード	grade
グレープフルーツ	grapefruit
グレコローマンスタイル	classic wrestling
グロ	grotesque
グローバリズム	globalism
グローブ	mitt
ケーオー	knock-out
ケーキ	cake
ケージ	cage
ケース	case
ケーススタディ	case study
ケースワーカー	caseworker
ケーブル	cable
ケーブル	cable railway
ケープ	cape
ケア	attention
ケア	nursing
ケチャップ	ketchup
ケチャップ	catsup
ケロイド	keloid
ゲージ	gauge
ゲート	gate
ゲート	logic element
ゲーム	game
ゲームセット	end of the game
ゲームセット	end of the match
ゲームセンター	game arcade
ゲームセンター	video arcade
ゲームセンター	penny arcade
ゲイン	gain
ゲスト	guest
ゲットー	ghetto
ゲノム	genome
ゲリラ	guerrilla
ゲリラ	guerrilla warfare
ゲル	gel
ゲレンデ	ski slope
コーキング	caulking
コーキング	calking
コークスクリュー	corkscrew
コース	course
コース	route
コース	trail
コースター	roller coaster
コーチ	coach
コーチ	coaching
コーチ	training
コーティング	coating
コーディネーター	coordinator
コーディネート	coordinate
コーディネート	co-ordinate
コーディネート	coordination
コート	coat
コート	coating
コード	code
コード	program
コード	regulation
コードレスホン	cordless phone
コーナー	corner
コーナー	bend
コーナー	turn
コーナリング	cornering
コーヒー	coffee
コーヒーショップ	coffee shop
コープ	co-op
コープ	co-operative
コーポ	apartment building
コーポ	block of flats
コーポ	condominium
コーポレーション	corporation
コーポレートアイデンティティー	corporate identity
コーラ	cola tree
コーラス	chorus
コール	shout
コール	call
コール	chant
コールド	cold cream
コールド	cold wave
コールド	cold permanent wave
コールドゲーム	called game
コーンスターチ	cornstarch
コーンスターチ	corn starch
コーンスターチ	cornflour
コア	core
コアビタシオン	cohabitation
コアラ	koala
コイル	coil
コイン	coin
コイン	token
コイン	slug
コインロッカー	coin-operated locker
コカイン	cocaine
ココア	hot chocolate
コスチューム	costume
コスト	cost
コスモ	cosmos
コスモス	cosmos
コスモポリタン	cosmopolitan
コック	cook
コック	chef
コックス	cox
コックス	coxswain
コックピット	cockpit
コクピット	cockpit
コットン	cotton
コットン	cotton buds
コップ	tumbler
コテージ	cottage
コニーデ	stratovolcano
コニーデ	composite volcano
コニャック	cognac
コネ	connection
コネ	pull
コネクション	connection
コバルト	cobalt blue
コバルトブルー	cobalt blue
コピー	copy
コピー	photocopy
コピー	book jacket blurb
コピーライト	copyright
コブラ	cobra
コマ	coma
コマ	comatic aberration
コマンド	command
コマンド	command key
コミック	comic
コミック	comics
コミック	comic book
コミックス	comics
コミックス	comic book
コミッショナー	commissioner
コミッション	commission
コミット	commitment
コミット	involvement
コミット	participation
コミュニケーション	communication
コミュニティ	community
コミュニティー	community
コム	computer output microfilm system
コメディ	comedy
コメディー	comedy
コメディアン	comedian
コメンテーター	commentator
コメント	comment
コラージュ	collage
コラール	choral
コラボレーション	collaboration
コラムニスト	columnist
コリー	collie
コル	col
コルク	cork
コレクション	collecting
コレクション	fashion show
コレクター	collector
コレステロール	cholesterol
コロイド	colloid
コロッケ	croquette
コロナ	corona
コロナ	coronavirus
コロニー	colony
コンクール	competition
コンクール	contest
コンクリート	concrete
コングロマーチャント	conglomerate merchant
コンコース	concourse
コンサート	concert
コンサルタント	consultant
コンサルティング	consulting
コンシューマー	consumer
コンスタント	constant
コンセプト	concept
コンセプト	general idea
コンセプト	notion
コンセンサス	consensus
コンセント	power point
コンソーシアム	consortium
コンタクト	contact
コンタクト	touch
コンタクト	contact lens
コンタクトレンズ	contact lens
コンダクター	conductor
コンチェルト	concerto
